minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
2,8,84,4,0,33
1,6,0,0,2,25
8,6,299,1,0,53
1,5,48,1,2,80
1,6,338,0,2,25
2,327,310,1,1,223
6,5,257,2,0,58
3,49,206,1,1,737
2,327,130,1,1,241
2,5,358,0,0,63
15,5,342,0,0,40
1,6,356,2,0,120
1,33,348,1,1,179
1,11,245,1,0,155
1,6,164,0,0,55
2,327,309,1,1,234
3,9,91,0,1,99
1,13,335,1,0,100
5,8,345,1,0,215
2,327,293,1,1,212
5,5,0,2,1,150
1,33,365,0,0,119
1,5,365,0,0,100
1,5,324,1,1,174
2,5,86,4,1,104
2,6,280,2,0,289
1,10,275,1,0,280
2,5,0,0,0,27
3,13,53,0,1,179
1,18,365,2,0,135
1,9,307,1,0,100
1,10,305,1,0,500
3,12,345,2,2,30
1,6,180,0,0,119
1,6,365,2,0,90
1,5,133,0,1,172
5,7,0,0,0,50
2,5,363,2,0,45
1,8,359,2,0,139
1,9,260,1,0,70
3,6,46,1,1,250
1,5,180,2,0,65
1,5,346,1,0,99
2,26,309,0,0,36
1,33,365,0,0,119
3,10,172,2,0,47
2,327,315,1,1,244
4,7,293,3,0,34
1,5,172,2,0,45
1,10,352,0,2,35
1,5,364,1,1,750
1,7,285,2,0,32
15,28,185,1,0,93
4,5,49,0,2,25
1,7,300,1,0,100
1,5,32,2,0,100
1,9,337,1,1,350
5,5,322,0,0,37
1,8,0,1,0,84
5,5,353,0,0,37
2,327,335,1,1,229
2,13,365,4,0,68
2,327,273,1,1,377
1,11,243,1,0,155
2,327,347,1,1,228
1,7,179,0,0,60
2,327,263,1,1,474
1,33,364,0,1,399
1,7,225,1,2,80
1,5,81,0,0,54
1,5,335,1,1,560
2,5,168,2,1,95
14,28,322,1,2,35
2,34,343,0,2,39
1,9,322,2,0,49
2,10,362,0,0,45
2,327,322,1,1,203
7,12,105,2,0,40
2,6,136,0,0,79
2,327,81,1,1,255
5,6,185,0,0,140
1,5,268,1,0,100
2,5,210,2,0,88
1,5,75,2,0,45
1,12,57,0,0,54
4,5,0,0,0,88
1,6,237,0,0,50
1,5,365,0,0,110
1,17,88,0,2,35
3,8,341,0,0,75
2,7,0,2,0,50
2,327,319,1,1,214
1,8,177,0,0,51
4,49,121,1,1,956
7,9,206,0,0,80
2,6,79,2,0,65
3,5,362,4,0,40
2,10,365,0,0,50
2,327,338,1,1,203
2,11,173,1,1,276
1,33,180,0,0,199
1,5,281,2,0,55
1,10,343,1,0,166
14,8,317,2,0,50
1,6,1,0,0,38
2,10,359,0,0,60
2,327,354,1,1,221
2,6,125,0,1,99
3,5,0,0,0,75
1,5,187,0,0,35
1,5,199,0,0,48
1,9,357,2,0,50
1,8,314,1,1,309
1,17,225,1,1,163
2,5,90,0,1,550
1,9,348,1,2,60
2,5,158,0,0,53
2,327,346,1,1,230
1,12,61,0,0,53
1,7,270,1,0,100
2,13,259,1,1,260
3,6,8,2,1,145
1,6,365,2,0,70
2,5,63,1,0,70
1,12,30,0,0,53
1,8,321,1,1,219
1,5,78,2,0,70
1,6,155,0,0,46
1,5,227,0,0,85
1,6,364,1,0,3210
1,9,238,0,1,139
2,7,272,0,0,65
2,5,0,0,0,45
1,10,327,1,0,350
2,10,360,2,0,48
1,14,365,1,0,450
1,10,341,2,1,499
1,7,352,0,0,51
3,5,41,0,1,169
2,9,365,1,0,69
1,6,362,1,2,70
14,28,341,1,2,32
1,5,139,2,0,33
3,13,180,0,0,51
7,47,348,1,0,75
1,11,365,1,0,69
2,34,305,0,0,49
2,5,0,1,0,85
3,6,353,1,2,65
2,13,263,1,1,198
2,11,143,1,0,913
14,28,322,1,2,35
6,8,147,0,0,58
2,6,365,2,0,41
1,5,48,2,0,49
1,9,323,2,0,48
12,5,89,0,0,52
1,6,362,2,0,59
1,5,325,2,0,45
2,9,120,1,2,60
1,17,239,1,1,163
4,8,365,2,2,34
1,7,360,1,0,100
3,9,0,1,0,60
2,6,178,1,0,90
2,327,311,1,1,425
3,12,365,1,0,269
7,13,252,0,0,35
1,5,165,0,0,30
1,17,87,0,2,32
2,6,173,1,0,90
1,9,134,0,1,139
1,10,158,0,1,108
3,6,178,0,0,50
1,9,298,1,1,650
1,10,333,1,0,210
1,6,365,0,0,89
1,5,0,1,0,90
2,6,158,0,0,98
1,5,365,1,1,240
1,18,355,2,0,165
2,34,285,0,0,65
1,7,180,0,0,65
1,8,0,2,0,49
1,5,188,1,0,150
1,9,295,1,0,100
2,10,356,0,0,65
1,5,354,0,2,37
1,5,0,1,0,80
1,7,358,1,0,359
1,8,343,2,2,29
1,17,363,0,0,119
2,9,3,1,2,49
1,7,329,2,0,55
2,5,347,0,1,125
15,28,185,1,0,73
1,7,225,1,2,75
2,5,136,0,1,85
1,10,330,1,0,400
2,9,5,1,2,49
4,7,333,3,0,32
1,17,246,1,1,120
1,7,180,0,0,60
1,7,5,2,1,200
1,6,160,0,0,59
3,12,365,1,0,699
1,13,356,1,0,100
3,47,352,1,1,500
1,5,359,2,0,89
1,8,323,1,1,650
3,5,272,0,0,35
3,5,278,2,0,38
1,15,318,0,0,55
1,7,58,0,0,55
3,10,68,4,0,79
1,6,364,2,2,27
1,9,20,0,1,139
1,15,292,1,0,100
2,5,342,0,0,86
2,327,284,1,1,248
2,5,169,1,1,299
3,5,278,0,1,245
1,8,60,4,2,28
1,33,365,2,0,119
1,12,344,1,0,85
1,8,204,1,2,65
1,5,365,4,0,65
1,18,365,2,0,135
1,5,0,1,0,95
2,13,304,1,1,240
2,327,99,1,1,240
1,13,341,1,0,100
3,12,0,1,1,339
1,11,23,0,0,45
2,327,329,1,0,256
1,9,341,2,0,85
1,5,0,0,0,48
2,7,71,0,0,57
1,5,362,0,0,46
1,5,341,2,0,48
1,8,78,2,0,50
2,327,315,1,1,222
3,28,60,0,0,599
3,12,0,1,1,339
1,6,325,2,0,52
1,7,365,0,0,50
3,28,81,0,0,179
1,5,0,2,0,50
1,7,278,0,0,47
3,10,281,0,2,40
2,327,82,1,1,231
2,6,327,0,1,95
3,12,365,1,0,599
5,7,133,0,0,63
1,5,32,2,0,55
1,6,224,0,2,40
2,7,0,2,0,59
3,28,81,0,0,179
1,6,363,2,0,60
2,6,121,0,0,81
2,5,256,0,1,129
1,7,177,2,0,65
1,5,0,2,0,40
1,5,89,2,1,225
5,5,82,1,1,300
4,6,119,1,0,105
1,5,166,0,0,48
1,33,179,1,1,225
2,8,268,0,0,52
7,9,365,0,0,80
1,5,158,0,0,70
1,20,359,1,0,129
7,47,332,1,0,120
1,14,355,1,0,450
2,7,76,0,0,74
7,13,365,1,0,169
6,8,318,2,0,45
